"Product Name","Product ID","SKU","Size","Color","Price","Currency","Fulfillment Location","Store Name","Stock Location","On Hand"
"FILSON X XTRATUF 15"" INSULATED ELITE LEGACY BOOTS","193715477615","F1320245378-1-Nvy-13-CHN","13","Navy",67.5,"USD","50003","Portland","Main",0
"FILSON X XTRATUF DRINK SLEEVE","193715499570","F20002612-1-Navy-023390721","","Navy",18.0,"USD","50003","Portland","Main",0
"Beater Md Apparel Box 19 X 12 X 4","299000048963","F9911104304","","NoColor",0.0,"USD","50003","Portland","Main",0
"","299000085241","","","","","","50003","Portland","Main",600
"","299000085258","","","","","","50003","Portland","Main",452
"GREAT JONES GROWLER","299000234953","F3020118634-1-ForGrn-OS","One Size","ForestGrn",70.0,"USD","50003","Portland","Main",8
"","611403210332","","","","","","50003","Portland","Main",0
"","611403210967","","","","","","50003","Portland","Main",0
"FILSON X DANNER COMBAT HIKER","612632395357","F1320188729-1-ForGrn-9-USA","9","ForestGrn",340.0,"USD","50003","Portland","Main",0
"FILSON X DANNER COMBAT HIKER","612632395418","F1320188729-1-ForGrn-12-USA","12","ForestGrn",340.0,"USD","50003","Portland","Main",0
"","644070250097","","","","","","50003","Portland","Main",0
"","644070250448","","","","","","50003","Portland","Main",0
"FIRE MOUNTAIN BLANKET (COTTON)","703060000392","F3020254230-1-BlkGrnGrnt-OS-PRT","One Size","BlkGrnGrnt",97.5,"USD","50003","Portland","Main",0
"MACKINAW BIBS","703060000422","F1420270479-1-Chr-32-USA","32","Charcoal",495.0,"USD","50003","Portland","Main",1
"MACKINAW BIBS","703060000439","F1420270479-1-ForGrn-32-USA","32","ForestGrn",495.0,"USD","50003","Portland","Main",1
"MACKINAW BIBS","703060000446","F1420270479-1-Chr-34-USA","34","Charcoal",549.0,"USD","50003","Portland","Main",2
"MACKINAW BIBS","703060000453","F1420270479-1-ForGrn-34-USA","34","ForestGrn",549.0,"USD","50003","Portland","Main",0
"MACKINAW BIBS","703060000460","F1420270479-1-Chr-36-USA","36","Charcoal",495.0,"USD","50003","Portland","Main",0
"MACKINAW BIBS","703060000477","F1420270479-1-ForGrn-36-USA","36","ForestGrn",495.0,"USD","50003","Portland","Main",1
"MACKINAW BIBS","703060000484","F1420270479-1-Chr-38-USA","38","Charcoal",495.0,"USD","50003","Portland","Main",0
"MACKINAW BIBS","703060000491","F1420270479-1-ForGrn-38-USA","38","ForestGrn",549.0,"USD","50003","Portland","Main",0
"MACKINAW BIBS","703060000507","F1420270479-1-Chr-40-USA","40","Charcoal",549.0,"USD","50003","Portland","Main",1
"MACKINAW BIBS","703060000514","F1420270479-1-ForGrn-40-USA","40","ForestGrn",549.0,"USD","50003","Portland","Main",1
"MACKINAW BIBS","703060000521","F1420270479-1-Chr-42-USA","42","Charcoal",549.0,"USD","50003","Portland","Main",1
"MACKINAW BIBS","703060000538","F1420270479-1-ForGrn-42-USA","42","ForestGrn",495.0,"USD","50003","Portland","Main",1
"MACKINAW BIBS","703060000552","F1420270479-1-ForGrn-44-USA","44","ForestGrn",549.0,"USD","50003","Portland","Main",1
"MACKINAW BIBS","703060000569","F1420270479-1-Chr-46-USA","46","Charcoal",549.0,"USD","50003","Portland","Main",1
"MACKINAW BIBS","703060000576","F1420270479-1-ForGrn-46-USA","46","ForestGrn",549.0,"USD","50003","Portland","Main",1
"MACKINAW BIBS","703060000590","F1420270479-1-ForGrn-48-USA","48","ForestGrn",549.0,"USD","50003","Portland","Main",1
"MACKINAW BIBS","703060000606","F1420270479-1-Chr-30-USA","30","Charcoal",549.0,"USD","50003","Portland","Main",2
"MACKINAW BIBS","703060000613","F1420270479-1-ForGrn-30-USA","30","ForestGrn",549.0,"USD","50003","Portland","Main",1
"WORSTED WOOL GUIDE SHIRT","703060001504","F1420263530-1-BluGrph-S-LKA","S","Blugrpht",112.5,"USD","50003","Portland","Main",0
"WORSTED WOOL GUIDE SHIRT","703060001511","F1420263530-1-BluGrph-M-LKA","M","Blugrpht",112.5,"USD","50003","Portland","Main",0
